model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989
predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112
predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989
predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112
predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989
predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112
predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989
predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112
predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989
predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112
